"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","288","3.292","25.3","34.4","27.8","6.6","2.8","2.1","1.0",".",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","125
002","263","3.083","20.9","28.9","20.9","13.3","9.9","4.2","0.8","0.8",".",".",".",".","0.4",".",".","."
"Criminal Justice in America","131
001","90","2.966","13.3","17.8","43.3","8.9","11.1","3.3","1.1",".",".",".",".",".","1.1",".",".","."
"","134
001","95","3.805","78.9","11.6","6.3",".","2.1","1.1",".",".",".",".",".",".",".",".",".","."
"","002
134","96","3.115","22.9","25.0","21.9","20.8","6.3","2.1","1.0",".",".",".",".",".",".",".",".","."
"","003
134","99","3.480","44.4","27.3","16.2","4.0","8.1",".",".",".",".",".",".",".",".",".",".","."
"","134
004","102","3.348","34.3","23.5","26.5","8.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","392","3.435","44.9","21.9","17.9","8.4","5.9","0.8","0.3",".",".",".",".",".",".",".",".","."
"","138
001","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
002","98","3.959","91.8","8.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","117","3.944","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","001
140","65","3.656","63.1","18.5","9.2","3.1","3.1","1.5",".","1.5",".",".",".",".",".",".",".","."
"Population Problems","170
001","394","3.303","28.9","31.5","19.5","12.7","4.8","1.0","0.5",".",".",".",".",".",".","0.3","0.8","."
"Intro to LGBTQ+ Studies","200
001","39","3.064","15.4","46.2","15.4","7.7","7.7","2.6","5.1",".",".",".",".",".",".",".",".","."
"Intercultural Dialogues","205
001","45","3.716","77.8","2.2","6.7","4.4","6.7",".",".",".",".",".",".",".",".",".","2.2","."
"Leadership in ICD","206
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Sociology","210
001","84","3.315","36.9","23.8","17.9","10.7","9.5","1.2",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","86","3.553","53.5","24.4","9.3","3.5","7.0","1.2",".",".",".",".",".",".","1.2",".",".","."
"Ethnic Movements in U.S.","220
001","63","3.574","42.9","38.1","9.5","3.2","1.6","1.6",".",".",".",".",".",".","1.6",".","1.6","."
"SE Asia:Vietnam to Philipns","244
002","6","2.500",".","16.7","16.7","16.7","50.0",".",".",".",".",".",".",".",".",".",".","."
"","248
001","8","3.125","25.0","12.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
248","14","3.464","57.1","21.4","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","Course Total","22","3.341","45.5","18.2","22.7","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","001
277","18","3.529","44.4","22.2","22.2",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"","320
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
066","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
209","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","Course Total","13","3.893","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Survey Methods Soc Res","351
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357
001","73","3.685","56.2","32.9","5.5","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360
001","55","2.935","38.2","7.3","23.6","5.5","7.3","10.9","5.5","1.8",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","30","3.466","20.0","53.3","20.0","3.3",".",".",".",".",".",".",".",".",".","3.3",".","."
"Criminology","001
441","91","3.429","26.4","44.0","20.9","6.6","2.2",".",".",".",".",".",".",".",".",".",".","."
"","456
001","15","2.467","13.3","26.7","13.3","13.3","6.7","13.3","13.3",".",".",".",".",".",".",".",".","."
"","002
456","14","3.036","14.3","35.7","14.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","29","2.701","13.8","31.0","13.8","13.8","13.8","6.9","6.9",".",".",".",".",".",".",".",".","."
"","475
002","18","3.059","5.6","33.3","27.8","22.2","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"","475
003","25","3.340","60.0","8.0","16.0","4.0",".","8.0","4.0",".",".",".",".",".",".",".",".","."
