"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"625
Toxicology I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","169","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","212","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","227","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","244","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","245","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","246","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","247","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","267","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","268","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 359 of 420",""
