"","699
014","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
042","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"Advanced Hist of Philosophy","830
001","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"CLASSICS
244","Dept. Total","377","3.559","50.1","27.1","14.1","2.9","1.3","",".","1.6","1.3","",".",".","",".","",".","1.1","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","75","3.585","60.0","16.0","16.0","5.3","2.7","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","92","3.623","52.2","28.3","17.4",".","2.2","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","87","3.507","47.1","36.8","6.9","4.6","1.1","",".","3.4",".","",".",".","",".","",".",".",".",".","."
"Senior","","109","3.514","47.7","27.5","17.4","2.8",".","",".","2.8",".","",".",".","",".","",".","1.8",".",".","."
"Undergraduates","","363","3.556","51.2","27.5","14.6","3.0","1.4","",".","1.7",".","",".",".","",".","",".","0.6",".",".","."
"Special","","10","3.833","20.0","10.0",".",".",".","",".",".","50.0","",".",".","",".","",".",".","20.0",".","."
"Graduate","","4","***","","","","","","","","","","","",".","",".","",".","50.0",".",".","."
"","Dept. Total","377","3.559","50.1","27.1","14.1","2.9","1.3","",".","1.6","1.3","",".",".","",".","",".","1.1","0.5",".","."
