"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"548","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"548","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"548","004","","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Special Topics: Advanced Level","Course Total","","15","3.649","86.7",".","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"554
Advanced Glassworking","001","","12","3.227","16.7","33.3","16.7","25.0",".",".",".",".",".",".",".",".","8.3",".",".","."
"556
Interactive Design","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Advanced Topics in 4D Art","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"576
Advanced Photography","001","","9","3.389","22.2","55.6","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"608
Interdis Critiq-Visual Arts","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Advanced Drawing II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614
Advanced Sculpture Workshop 2","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"622","001","","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","002","","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Undergrad Painting Workshp","Course Total","","26","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"624
Advanced Ceramics II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"629
3D Digital Studio III","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"644
Advanced Art Metal II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Design Portfolio & Prof Pract","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.635","76.2","4.8",".",".",".",".","4.8","4.8",".",".",".",".","9.5",".",".","."
"700
Intro to Grad Studies in Art","001","","28","3.875","82.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Graduate Painting I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"736
Grad Graphics Workshop I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"908","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Art","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"914","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","11","3.889","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
