"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag","103","002","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","44","2.841","15.9","13.6","36.4","9.1","15.9","9.1",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","257","3.545","46.7","30.0","13.6","4.3","2.7","0.4","0.8","1.2",".",".",".",".",".",".",".","0.4"
"Intro Earth System","120","001","128","3.133","18.8","28.9","26.6","13.3","11.7","0.8",".",".",".",".",".",".",".",".",".","."
"Green Screen","125","001","86","3.201","25.6","20.9","30.2","8.1","8.1","2.3",".",".",".",".",".",".",".",".","1.2","3.5"
"Physical Systems of Envr","127","001","16","3.344","18.8","43.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro People-Environment Geog","139","001","86","3.238","19.8","29.1","38.4","7.0","4.7","1.2",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","34","3.676","50.0","41.2","5.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","55","2.836","9.1","27.3","29.1","12.7","12.7","7.3","1.8",".",".",".",".",".",".",".",".","."
"Environment and Religion","270","001","49","3.784","57.1","26.5","6.1",".",".",".",".","8.2",".",".",".",".","2.0",".",".","."
"Limnology-Aquatic Resources","315","001","54","2.583","11.1","18.5","18.5","13.0","25.9","9.3","3.7",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","11","3.227","9.1","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","47","3.085","12.8","25.5","34.0","21.3","6.4",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","24","3.063","12.5","29.2","33.3","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Climate Change Governance","349","001","17","3.412","29.4","29.4","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","65","3.046","23.1","29.2","21.5","4.6","13.8","6.2","1.5",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","23","3.217","26.1","17.4","39.1","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","8","3.357","50.0","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".","12.5",".","."
"Topics: Biol Aspects-Envir St","400","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","28","3.304","32.1","25.0","28.6","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"","402","002","35","3.071","31.4","11.4","31.4","2.9","17.1","5.7",".",".",".",".",".",".",".",".",".","."
"","402","003","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","18","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","005","34","3.897","91.2",".","5.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","402","006","40","3.725","77.5","5.0","15.0",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","402","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","181","3.427","64.6","10.5","16.6","2.2","3.9","1.7","0.6",".",".",".",".",".",".",".",".","."
"","404","001","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","404","002","20","3.553","40.0","35.0","10.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Topics in Envir: Humanistic","","Course Total","33","3.594","42.4","39.4","6.1","9.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"Energy Resources","411","001","37","3.514","35.1","37.8","21.6","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","20","2.975",".","25.0","45.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","131","3.492","35.9","33.6","19.8","7.6","0.8",".",".",".",".",".",".",".","2.3",".",".","."
"Air Pollution&Human Health","502","001","110","3.514","40.9","25.5","30.0","2.7","0.9",".",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dev and Env in Southeast Asia","557","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Markets","561","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
