"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Mass Media in Multicultrl Amer","162","001","85","3.724","75.3","15.3","1.2","2.4","3.5","1.2","1.2",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201","001","349","3.434","33.8","29.2","30.4","4.3","2.0",".","0.3",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202","001","103","3.519","21.4","65.0","10.7","1.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"","335","001","22","3.568","27.3","59.1","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","14","3.464","42.9","14.3","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Principles/Practices-Reporting","","Course Total","36","3.528","33.3","41.7","22.2","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","345","001","42","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345","003","39","3.603","43.6","33.3","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","","Course Total","104","3.793","67.3","24.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","17","3.706","64.7","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Magazine Publishing","417","001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419","001","19","3.579","31.6","52.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","445","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447","001","22","3.455","36.4","31.8","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Account Planning & Strategy","449","001","19","3.684","63.2","26.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Strategies","464","001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","009","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","024","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","031","13","3.231","30.8","7.7","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","","Course Total","39","3.603","48.7","30.8","12.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","74","3.363","21.6","39.2","33.8","2.7",".",".","1.4",".",".",".",".",".","1.4",".",".","."
"Effects-Mass Communication","565","001","87","3.718","57.5","35.6","5.7",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601","001","67","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","90","3.750","70.0","20.0","4.4","3.3","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"","616","001","25","3.520","32.0","52.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","616","002","21","3.167","23.8","23.8","33.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","","Course Total","46","3.359","28.3","39.1","17.4","10.9","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Networks in Comm","664","001","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669","001","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concepts and Tools for Data An","677","001","22","3.929","86.4","4.5","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Senior Honors Thesis","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","697","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
