"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","25","3.580","56.0","20.0","16.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"","003
1","42","3.650","40.5","42.9","11.9",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"","1
004","42","3.726","50.0","47.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","109","3.664","47.7","39.4","8.3","0.9","1.8",".",".",".",".",".",".",".",".",".","1.8","."
"Contemporary Dance I","001
11","19","3.667","73.7","5.3","5.3","5.3",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"","111
001","13","3.577","61.5",".","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","12","3.881","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","35","3.763","80.0","2.9","11.4","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
001","37","3.905","86.5","8.1","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","27","3.808","77.8","3.7","11.1","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"African Dance","Course Total","64","3.865","82.8","6.3","7.8","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","15","3.942","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp Body Studies & Practices","132
001","13","3.958","84.6","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","135
001","37","3.722","73.0","13.5","2.7","2.7","2.7","2.7",".","2.7",".",".",".",".",".",".",".","."
"","002
135","38","3.905","84.2","7.9","5.3",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","135
003","36","3.903","88.9","5.6","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","111","3.844","82.0","9.0","3.6","1.8","0.9","0.9",".","1.8",".",".",".",".",".",".",".","."
"Dance Production","140
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Year Workshop","162
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165
001","17","3.750","58.8","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Dancing Gender","168
001","113","3.701","73.5","14.2","1.8","4.4","2.7","1.8","0.9","0.9",".",".",".",".",".",".",".","."
"","2
001","44","3.932","88.6","9.1","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
2","45","3.849","80.0","8.9","2.2","2.2","2.2",".",".","4.4",".",".",".",".",".",".",".","."
"","003
2","30","3.828","86.7",".","3.3",".","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"","2
004","42","3.940","92.9","4.8",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","161","3.892","87.0","6.2","1.9","1.2","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Writing the Moving Body","200
001","23","3.717","78.3","4.3","13.0",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Ballet I","21
001","34","3.879","82.4","8.8","2.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"","211
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th III","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","218
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","15","3.400","46.7","20.0","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat II","235
001","17","3.706","58.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255
001","19","3.941","78.9","10.5",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Dance Hist I: Renaissance-50's","265
001","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268
001","126","3.668","69.0","11.9","7.9","4.8","4.8","0.8",".","0.8",".",".",".",".",".",".",".","."
"","311
001","18","3.700","55.6","22.2","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","311
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
