"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","10","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","16","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","56","3.919","83.9","8.9","3.6",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","3.6","."
"Prof Yr 3","111","3.241","14.4","27.0","54.1","2.7","",".","",".","0.9","",".","",".",".","",".","",".","",".",".",".","0.9"
"Prof Yr 4","20","3.737","75.0",".","25.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","131","3.314","23.7","22.9","49.6","2.3","",".","",".","0.8","",".","",".",".","",".","",".","",".",".",".","0.8"
