"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"103
Agroecology of Food and Ag","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201
Insects and Human Culture","001","","108","3.397","38.9","35.2","11.1","4.6","5.6","1.9","1.9","0.9",".",".",".",".",".",".",".","."
"203
Introduction to Global Health","001","","75","3.847","74.7","20.0","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","25","3.120","44.0","16.0","20.0","8.0",".",".","12.0",".",".",".",".",".",".",".",".","."
"331
Taxonomy of Mature Insects","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"351
Principles-Econ Entomology","001","","29","3.310","20.7","41.4","20.7","13.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Basic & Applied Insect Ecology","001","","21","3.571","76.2",".","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"451
Basic/Applied Insect Ecol Lab","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"632
Ecotox: The Chemical Players","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"633
Ecotox: Impacts on Individuals","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"634
Ecotox: Populatn, Comm, Ecosys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"799
Pract-Entomology Teaching","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"820
Foundations of Evolution","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 18 of 420"
