"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"SOIL SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","23","3.149","43.5","8.7","30.4","8.7","4.3","",".","4.3",".","",".",".","",".",".","",".",".",".","."
"Senior","","98","3.471","57.1","11.2","20.4","6.1","5.1","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","127","3.405","54.3","11.0","22.8","6.3","4.7","",".","0.8",".","",".",".","",".",".","",".",".",".","."
"Special","","8","3.100","37.5",".","25.0","25.0",".","",".",".","12.5","",".",".","",".",".","",".",".",".","."
"Graduate","","82","3.860","36.6","8.5","1.2",".",".","",".",".","50.0","",".",".","",".","3.7","",".",".",".","."
"","Dept. Total","217","3.483","47.0","9.7","14.7","4.6","2.8","",".","0.5","19.4","",".",".","",".","1.4","",".",".",".","."
