"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","123","3.598","58.5","22.8","8.1","7.3","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","64","3.805","73.4","15.6","9.4","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","65","3.662","52.3","32.3","10.8","4.6",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","35","3.643","45.7","40.0","11.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","30","3.683","60.0","23.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","65","3.662","52.3","32.3","10.8","4.6",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","64","2.930","26.6","10.9","25.0","12.5","17.2","7.8",".",".",".",".",".",".",".",".",".","."
"","348","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","27","3.907","92.6","3.7",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","348","003","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","004","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","86","3.919","89.5","7.0","2.3",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","104","3.832","71.2","25.0","2.9","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","62","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412","001","29","3.804","69.0","20.7","3.4","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","69","3.362","21.7","36.2","34.8","7.2",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","71","3.866","77.5","21.1",".",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","450","001","38","3.947","92.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","29","3.517","44.8","31.0","10.3","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","58","3.776","65.5","24.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","53","3.962","96.2","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","14","3.286","7.1","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","18","3.194","33.3","16.7","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","601","002","38","3.900","84.2","2.6","2.6",".","2.6",".",".",".",".",".",".",".","7.9",".",".","."
"","601","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","004","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","67","3.883","79.1","13.4","1.5",".","1.5",".",".",".",".",".",".",".","4.5",".",".","."
"Stochastic Modeling Tech","624","001","28","3.536","42.9","32.1","14.3","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engineering Supply Chains","645","001","37","3.338","8.1","56.8","29.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","43","3.814","72.1","20.9","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 137 of 420",""
