"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"826","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"826","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations APN Clin Pract III","Course Total","","32","3.875","81.3","15.6",".","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"828","010","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"828","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"828","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"828","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","34","3.914","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"847
Health Policy Practicum","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Prevention Science","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"906","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"906","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","32","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","10","",".",".",".",".",".",".",".","70.0",".",".",".","30.0",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","16","4.000","62.5",".",".",".",".",".",".","12.5",".",".",".",".","18.8",".","6.3","."
