"LEGAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
001","","99","3.179","20.2","30.3","27.3","13.1","6.1","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"Law, Politics and Society","217
001","","36","3.486","25.0","52.8","19.4",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"American Legal History to 1860","261
001","","49","2.968","10.2","14.3","51.0","8.2","10.2",".","2.0","4.1",".",".",".",".",".",".",".","."
"","400
020","","28","3.589","53.6","32.1","10.7",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"","400
023","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","","40","3.700","65.0","25.0","7.5",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Human Rights in Law & Society","409
001","","28","3.250","10.7","42.9","35.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"","450
001","","40","3.625","65.0","25.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","450
027","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","Course Total","","49","3.633","61.2","28.6","6.1",".",".",".","4.1",".",".",".",".",".",".",".",".","."
"Intellectual Freedom","003
645","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","694
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.763","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
