"REHAB PSYCH & SPECIAL EDUC Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"Issues in Special Education","200","001","","20","3.750","85.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","300","001","","109","3.917","89.0","7.3","2.8",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","108","3.968","96.3","2.8",".",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","","Course Total","","217","3.942","92.6","5.1","1.4",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","330","001","","39","3.769","82.1","5.1","2.6","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"AAC and Assistive Tech","401","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Functional Skills","402","001","","16","3.750","93.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Adol. Lit. for Stdts with Dis","403","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Special Ed","405","001","","24","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Diagnosis and Assessment","464","001","","41","3.963","95.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Special Education","466","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: MC - EA","475","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sp Ed Student Teaching: MC-EA","477","001","","13","4.000","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","30.8","."
"Rehab-Cnslg Psych: Foundatn","500","001","","65","3.838","75.4","18.5","4.6","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Rehab-Cnslg Psych: Applcatn","","Course Total","","34","3.939","85.3","11.8",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","505","001","","68","3.851","75.0","17.6","5.9",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Rehab Psych-Medical Aspects","550","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","019","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","020","","34","3.933","94.1","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","630","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","023","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intrshp-Rehab or Spec Educ","","Course Total","","65","3.955","93.8","3.1",".",".","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"","660","054","","39","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660","058","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","660","068","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660","069","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","64","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Signifcant Dis: Eqty&Particptn","715","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Ethical Bases - Coun&Psy","735","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
