"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","14","3.464","42.9","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
002","13","3.115","15.4","46.2","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","100
003","16","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.156",".","31.3","68.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
100","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","16","3.281","31.3","31.3","18.8",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"","100
010","16","3.531","56.3","18.8","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","011
100","16","3.313","18.8","37.5","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","012
100","16","3.467","50.0","12.5","18.8",".","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"Science and Storytelling","Course Total","183","3.481","40.4","29.5","22.4","2.7","3.3","0.5","0.5",".",".",".",".",".","0.5",".",".","."
"Sci&Technology Newswriting","111
001","17","3.294","52.9",".","17.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","212
001","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
212","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","41","3.720","56.1","31.7","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","47","3.394","40.4","27.7","12.8","8.5","10.6",".",".",".",".",".",".",".",".",".",".","."
"Comm in Life Sci Industries","270
001","36","3.667","58.3","22.2","16.7",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","24","3.479","33.3","41.7","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","27","3.667","63.0","29.6","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","53","3.625","60.4","18.9","9.4","1.9","7.5",".",".",".",".",".",".",".","1.9",".",".","."
"Information Radio","360
001","19","3.639","36.8","52.6",".","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","399
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","26","3.558","65.4","11.5","7.7","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","28","3.893","82.1","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","24","3.705","58.3","20.8","8.3",".","4.2",".",".",".",".",".",".",".","8.3",".",".","."
"Hlth Communication-Info Age","617
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Risk Communication","625
001","30","3.707","66.7","13.3","10.0","3.3","3.3",".",".",".",".",".",".",".",".",".","3.3","."
"Case Studies-Com of Sci & Tech","640
001","22","3.571","31.8","50.0","9.1","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Senior Honors Thesis","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","3","***","","","","","","","","","","","","","","","",""
"Topics in Mass Communication","880
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium:Mass Communicatn","901
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 5 of 420"
