"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","115","3.866","82.6","7.0","5.2","1.7","0.9",".",".",".",".",".",".",".","2.6",".",".","."
"","301
002","121","3.846","81.8","9.1","4.1","3.3","0.8",".",".",".",".",".",".",".","0.8",".",".","."
"","003
301","121","3.903","86.0","7.4","3.3","1.7",".",".",".",".",".",".",".",".","1.7",".",".","."
"How People Learn","Course Total","357","3.872","83.5","7.8","4.2","2.2","0.6",".",".",".",".",".",".",".","1.7",".",".","."
"","320
001","121","3.692","70.2","15.7","5.8","0.8","5.0","0.8","0.8",".",".",".",".",".",".",".",".","0.8"
"","320
002","124","3.844","81.5","12.1","1.6","0.8","0.8","1.6",".",".",".",".",".",".",".",".","1.6","."
"Human Dev-Infancy&Childhood","Course Total","245","3.769","75.9","13.9","3.7","0.8","2.9","1.2","0.4",".",".",".",".",".",".",".","0.8","0.4"
"Human Develop-Adolescence","321
001","119","3.466","35.3","40.3","16.8","4.2","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","117","3.613","56.4","27.4","5.1","2.6","5.1","1.7",".","0.9",".",".",".",".",".","0.9",".","."
"Hum Devel Chldhood-Adolescn","331
001","82","3.438","42.7","30.5","11.0","3.7","7.3","1.2","1.2",".",".",".",".",".","2.4",".",".","."
"","470
011","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","025
470","7","3.900","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
029","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","43","3.979","97.7",".","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","17","3.938","88.2",".","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","003
506","30","3.883","80.0","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","74","3.925","86.5","9.5","2.7",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Intro to Prof School Psych","540
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","31","3.839","67.7","32.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","62","3.919","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","27","3.984","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","711
003","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".",".",".","11.8","."
"","711
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
010","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","46","3.952","91.3","2.2",".",".","2.2",".",".",".",".",".",".",".",".",".","4.3","."
"Intro to Qualitative Research","719
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Development","720
001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Proc Across Life Span","723
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","14","3.750","50.0","28.6","7.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
