"CHICANA/O & LATINA/O STUDIE Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","",""
"201
001","30","3.667","50.0","33.3","16.7",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"201
002","30","3.850","76.7","20.0",".","3.3",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"201
003","34","3.742","61.8","20.6","14.7",".",".",".","",".","",".","",".","",".",".","",".","",".","2.9",".","."
"Course Total
Intro to Chicana/o&Latina/o St","94","3.753","62.8","24.5","10.6","1.1",".","",".","",".","",".","",".",".","",".","",".",".","1.1",".","."
"321
001
Chic/Lat Educ Justice","21","3.816","61.9","23.8","4.8",".",".",".","",".","",".","",".","",".",".","",".","","9.5",".",".","."
"330
002
Topics in Chicano/a Studies","12","3.958","91.7","8.3",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"347
001
Race, Ethnicity, and Media","4","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"461
001
The American West to1850","16","3.063","18.8","31.3","18.8","6.3","25.0",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"530
002","21","3.528","33.3","33.3","9.5","9.5",".",".","",".","",".","",".","",".",".","",".","","14.3",".",".","."
"530
004","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"530
006","10","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Course Total
Adv Topc-Chicana/o&Latina/o St","36","3.742","61.1","19.4","5.6","5.6",".","",".","",".","",".","",".",".","",".","",".","8.3",".",".","."
"699
007
Directed Study","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"CHICLA
Dept. Total
228","184","3.674","58.7","23.4","9.2","2.2","2.7","",".","",".","",".","",".",".","",".","",".","3.3","0.5",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","26","3.700","57.7","23.1","11.5","3.8",".","",".","",".","",".","",".",".","",".","",".",".","3.8",".","."
"Sophomore","54","3.701","64.8","18.5","13.0","1.9","1.9","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","48","3.643","54.2","27.1","10.4","2.1","2.1","",".","",".","",".","",".",".","",".","",".","4.2",".",".","."
"Senior","54","3.648","55.6","25.9","3.7","1.9","5.6","",".","",".","",".","",".",".","",".","",".","7.4",".",".","."
"Undergraduates","182","3.670","58.2","23.6","9.3","2.2","2.7","",".","",".","",".","",".",".","",".","",".","3.3","0.5",".","."
"Graduate","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","184","3.674","58.7","23.4","9.2","2.2","2.7","",".","",".","",".","",".",".","",".","",".","3.3","0.5",".","."
