"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1580","3.431","39.9","24.4","18.6","4.6","4.1","0.6","1.6","3.2","",".","0.3","",".","1.2","0.7","0.4","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","101","3.269","22.8","26.7","36.6","7.9","4.0",".","1.0",".","",".",".","",".",".","1.0",".",".","."
"Sophomore","","367","3.392","34.1","32.7","21.5","4.9","4.6","1.1","1.1",".","",".",".","",".",".",".",".",".","."
"Junior","","314","3.379","36.3","28.0","21.3","7.0","3.8",".","2.2",".","",".",".","",".",".","1.0","0.3",".","."
"Senior","","457","3.373","38.3","26.3","19.5","5.0","5.7","1.3","1.5","0.7","",".","0.4","",".","0.7","0.2","0.4",".","."
"Undergraduates","","1239","3.372","35.3","28.7","22.0","5.7","4.8","0.8","1.5","0.2","",".","0.2","",".","0.2","0.4","0.2",".","."
"Special","","73","3.697","45.2","8.2","11.0",".","2.7",".",".","17.8","",".","4.1","",".",".","2.7","5.5","1.4","."
"Graduate","","268","3.693","60.1","9.0","5.2","0.7","1.1",".","2.2","13.1","",".",".","",".","6.0","1.5",".","0.7","0.4"
"","Dept. Total","1580","3.431","39.9","24.4","18.6","4.6","4.1","0.6","1.6","3.2","",".","0.3","",".","1.2","0.7","0.4","0.2","0.1"
