"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","47","3.438","66.0","8.5","2.1","2.1","14.9","4.3",".",".","",".",".","",".",".",".",".","2.1","."
"Senior","147","3.557","65.3","9.5","11.6","2.0","7.5","1.4","0.7",".","",".",".","",".","1.4","0.7",".",".","."
"Undergraduates","198","3.534","66.2","9.1","9.1","2.0","9.1","2.0","0.5",".","",".",".","",".","1.0","0.5",".","0.5","."
"Special","12","3.935","83.3",".","8.3",".",".",".",".","8.3","",".",".","",".",".",".",".",".","."
"Graduate","71","3.872","40.8","4.2","2.8",".",".",".",".","4.2","",".",".","",".","47.9",".",".",".","."
"Prof Yr 1","59","3.656","61.0","16.9","22.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","",".","",".","50.0",".",".",".","."
"Prof Yr 4","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","67","3.676","62.7","14.9","20.9",".",".",".",".",".","",".",".","",".","1.5",".",".",".","."
