"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"","299
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Intro to Sci & Technol of Food","001
301","","43","2.953","9.3","27.9","30.2","23.3","4.7","2.3","2.3",".",".",".",".",".",".",".",".","."
"","324
003","","11","2.955","9.1","27.3","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","13","3.077","30.8","23.1","15.4","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","","24","3.021","20.8","25.0","20.8","12.5","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","","49","3.306","36.7","14.3","34.7","2.0","12.2",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","26","3.985","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Chemistry","410
001","","42","2.963","16.7","21.4","23.8","19.0","11.9","4.8",".","2.4",".",".",".",".",".",".",".","."
"Food Service Operations","437
001","","61","3.393","13.1","57.4","24.6","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","438
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","60","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Food Engr","440
001","","30","3.517","56.7","16.7","10.0","6.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"Commercial Meat Processing","515
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Food Manufacturing","532
001","","43","3.060","9.3","23.3","39.5","20.9","4.7",".",".",".",".",".",".",".","2.3",".",".","."
"Confectionery Science&Technlgy","535
001","","22","3.176","22.7","13.6","22.7","4.5","13.6",".",".","22.7",".",".",".",".",".",".",".","."
"Senior Project","602
001","","33","3.379","27.3","30.3","36.4","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chem of the Food Lipids","710
001","","16","3.667","31.3","62.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Seminar Advanced","900
001","","34","4.000","17.6",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","."
"","990
009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","38","",".",".",".",".",".",".",".","60.5",".",".",".","39.5",".",".",".","."
