"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","250","3.018","22.8","19.2","23.2","14.0","17.2","2.0","0.8",".",".",".",".",".",".","0.8",".","."
"","132","002","338","2.889","14.5","20.1","24.3","18.0","19.8","2.1","0.9",".",".",".",".",".","0.3",".",".","."
"","132","003","125","2.874","21.6","14.4","18.4","16.8","23.2","2.4","1.6","0.8",".",".",".",".","0.8",".",".","."
"Nutrition Today","","Course Total","713","2.931","18.7","18.8","22.9","16.4","19.5","2.1","1.0","0.1",".",".",".",".","0.3","0.3",".","."
"Prof-Dietetics & Nutrition","200","001","34","",".",".",".",".",".",".",".",".",".","97.1","2.9",".",".",".",".","."
"Introduction to Global Health","203","001","373","3.810","72.4","20.1","6.7","0.3",".","0.3","0.3",".",".",".",".",".",".",".",".","."
"","299","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","065","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","72","3.028","20.8","27.8","20.8","8.3","19.4",".","2.8",".",".",".",".",".",".",".",".","."
"","375","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","003","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","59","3.992","98.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","27","3.870","85.2","3.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochm Prin-Human&Anml Nutr","510","001","31","3.367","35.5","12.9","41.9",".","6.5",".",".",".",".",".",".",".","3.2",".",".","."
"Applications-Clin Nutrition","520","001","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Seminar in Nutrition","600","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Experimental Diet Design","626","001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition","631","001","59","3.347","37.3","28.8","22.0",".","6.8","5.1",".",".",".",".",".",".",".",".",".","."
"Mol Ctrl of Mtblsm & Mtblc Dis","645","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650","001","19","3.500","26.3","52.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","670","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Energy Metabolism","710","001","29","3.793","79.3","13.8","3.4",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Pers Nutr-Genomics & Genetics","711","001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Nutrition Assessment","720","001","22","3.500","54.5","22.7","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","799","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Smr-Nutr&Metabolism (Adv)","901","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Nutrition","931","001","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
