"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"681","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","16","",".",".",".",".",".",".",".",".",".",".",".","93.8",".",".","6.3","."
"682
Senior Honors Thesis","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.738","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
History in Global Perspective","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"705
Topics in Global History","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"710","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"710","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Development Sem","Course Total","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"753
Smr-Comparative World Hist","001","","8","3.804","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","001","","8","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"800","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Seminar in History","Course Total","","15","4.000","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","53.3","."
"855
Seminar in Japanese History","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"861","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"861","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-History of Africa","Course Total","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"867
Smr:European Soc&Intel Hist","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"891
Prosem-Mod European History","001","","7","3.925","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Intro-Hist for U.S. Historians","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901","001","","9","3.917","55.6","11.1",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"901","002","","9","3.786","44.4","33.3",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Studies in American History","Course Total","","18","3.846","50.0","22.2",".",".",".",".",".",".",".",".",".",".","27.8",".",".","."
"903
Hist of Educ-Multiculturl Amer","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Seminar in Amer Environ Hist","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"963
Amer Religious History to 1860","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
