"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","134","3.045","22.4","24.6","21.6","18.7","3.7","5.2","2.2","1.5",".",".",".",".",".",".",".","."
"","100","002","136","2.955","23.5","16.2","21.3","19.1","11.0","4.4","2.2",".",".",".",".",".","1.5","0.7",".","."
"General Geology","","Course Total","270","3.000","23.0","20.4","21.5","18.9","7.4","4.8","2.2","0.7",".",".",".",".","0.7","0.4",".","."
"Environmental Geology","106","001","94","3.016","30.9","8.5","31.9","5.3","18.1","3.2","2.1",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","210","2.922","22.4","17.1","25.2","12.4","13.3","3.8","3.8","1.4",".",".",".",".","0.5",".",".","."
"Life in Earth's Extreme Envir","117","001","39","3.551","48.7","12.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Hazards and Disasters","140","001","30","3.538","43.3","16.7","20.0","3.3","3.3",".",".","13.3",".",".",".",".",".",".",".","."
"Directed Study","199","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geologic Structures","202","001","63","3.079","28.6","9.5","34.9","12.7","11.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","29","3.089","24.1","10.3","34.5","13.8","13.8",".",".","3.4",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","194","3.052","25.8","21.1","19.6","17.0","9.8","5.7","0.5","0.5",".",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","52","3.020","17.3","17.3","34.6","9.6","15.4","1.9",".","1.9",".",".",".",".","1.9",".",".","."
"Intro Envir Remote Sensing","371","001","7","3.429","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","56","3.330","25.0","35.7","23.2","12.5","3.6",".",".",".",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431","001","22","3.409","40.9","22.7","22.7","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Structural Petrology","557","001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","19","2.763","5.3","15.8","26.3","31.6","21.1",".",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geochronology & Timescales","610","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","33","2.970","12.1","9.1","57.6","9.1","9.1","3.0",".",".",".",".",".",".",".",".",".","."
"","691","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Geochemistry of Sediments","732","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech of Earthquakes & Faulting","758","001","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","005","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","875","006","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","","Course Total","47","3.985","83.0","2.1",".",".",".",".",".","14.9",".",".",".",".",".",".",".","."
"Glacial & Pleistocene Geol","920","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
