"","990
124","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
127","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
130","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Research","Course Total","21","",".","",".",".",".",".",".",".","95.2",".",".","",".","",".","4.8",".",".","."
"LAW
528","Dept. Total","1526","1.244","7.1","",".","17.2",".","2.6","0.1","0.1","31.5","0.1",".","",".","",".","0.2",".","0.1","0.7"
"Summary by Level","","#","Ave","A","AB","","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","",""
"Special","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","9","4.000","88.9","",".",".",".",".",".",".","11.1",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","361","1.127","5.3","",".","27.7",".","1.9",".",".","3.3",".",".","",".","",".","0.3",".",".","."
"Prof Yr 2","","457","1.190","5.9","",".","11.6",".","3.1","0.4",".","44.2",".",".","",".","",".","0.2",".",".","1.3"
"Prof Yr 3","","592","1.345","7.4","",".","15.0",".","2.7",".","0.2","40.2","0.2",".","",".","",".",".",".","0.2","0.7"
"Prof Yr 4","","103","1.324","9.7","",".","20.4",".","1.9",".",".","24.3",".",".","",".","",".","1.0",".",".","."
"Professionals","","1513","1.223","6.6","",".","17.4",".","2.6","0.1","0.1","31.5","0.1",".","",".","",".","0.2",".","0.1","0.7"
"","Dept. Total","1526","1.244","7.1","",".","17.2",".","2.6","0.1","0.1","31.5","0.1",".","",".","",".","0.2",".","0.1","0.7"
