"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"600","002","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","11","3.455","36.4","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"668
Green Pol:Glb Expr,Am Prosp","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.964","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"717
Water Res Mgt Pract Plan Smr I","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Agroecosystems & Global Chng","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Intro-Energy Analysis & Policy","001","","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Graduate Orientation Seminar","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"972
Conservation Planning","001","","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"976
Conservtn Biol&Sustainable Dev","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"977
Sustainable Development","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 164 of 420",""
