"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Indust Struct&Comptitv Stratgy","458","001","37","3.792","73.0","8.1","16.2",".",".",".",".",".",".",".",".",".",".","2.7",".","."
"Internatl Trade & Finance","464","001","86","2.952","20.9","15.1","30.2","14.0","10.5","4.7","2.3",".",".",".",".",".",".","2.3",".","."
"American Economy to 1865","465","001","26","3.391","34.6","7.7","38.5","7.7",".",".",".",".",".",".",".",".","3.8",".","7.7","."
"Intl Industrial Organizations","467","001","40","3.150","27.5","20.0","35.0","5.0","7.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468","001","87","2.961","24.1","18.4","28.7","9.2","12.6",".","6.9",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","22","3.333","40.9","22.7","18.2","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","4.5"
"Law and Economics","522","001","121","3.084","22.3","11.6","38.0","16.5","8.3","1.7",".",".",".",".",".",".","0.8","0.8",".","."
"Quant Mthds-Ag & Appl Econ","526","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Health Care","548","001","31","3.290","19.4","29.0","45.2","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"","581","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Issues-International Finance","666","001","41","3.646","65.9","7.3","19.5","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"Topics in Economics","690","001","44","3.648","65.9","13.6","11.4","2.3","6.8",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematics for Economists","700","001","84","3.601","51.2","25.0","22.6",".",".",".","1.2",".",".",".",".",".",".",".",".","."
"Microeconomics I","701","001","85","3.671","40.0","54.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics I","703","001","34","3.840","73.5","20.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics I","704","001","84","3.488","31.0","36.9","31.0","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics III","706","001","103","3.748","58.3","33.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","42","3.516","33.3","33.3","31.0",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Thry: Microeconomics Seqnce","711","001","72","3.345","25.0","20.8","50.0","2.8",".",".",".",".",".",".",".",".",".","1.4",".","."
"Thry: Macroeconomics Seqnce","712","001","63","3.492","30.2","39.7","25.4","3.2",".",".",".",".",".",".",".",".","1.6",".",".","."
"Econometric Methods","715","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomic Policy","736","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750","001","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","20","3.525","55.0","25.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871","001","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","7","3.600","28.6","28.6","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","899","001","11","3.750","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".","45.5",".",".","."
"","899","002","23","3.674","47.8","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
