"FARM & INDUSTRY SHORT COU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","",""
"Meat Animal Production I","101
001","6","2.833","33.3",".",".","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"Dairy Cattle Selection & Eval","105
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Livestock Housing","110
001","27","3.574","51.9","22.2","14.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Agribusiness Feasibility Plng","115
001","15","3.767","66.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Meat Animal Eval & Marketing","120
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reproduction of Farm Animals","134
001","19","3.158","31.6","26.3","5.3","15.8","21.1",".",".",".",".",".",".",".",".",".",".","."
"Farm Machinery","140
001","15","3.200","40.0","20.0","20.0","6.7",".","13.3",".",".",".",".",".",".",".",".",".","."
"Precision Ag Technologies","001
145","16","3.156","25.0","25.0","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Plant Science","20
001","9","2.667","11.1","11.1","33.3","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Agricultural Sales","21
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"FISC 1st-Year Seminar","55
001","46","3.739","73.9","8.7","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Ag, Food Syst, & Rural Dev","56
001","45","3.067","26.7","22.2","28.9","8.9","4.4","4.4","4.4",".",".",".",".",".",".",".",".","."
"Introduction to Soils","57
001","45","3.167","37.8","13.3","20.0","11.1","13.3","4.4",".",".",".",".",".",".",".",".",".","."
"Forage Crops","58
001","49","3.204","30.6","14.3","26.5","22.4","6.1",".",".",".",".",".",".",".",".",".",".","."
"PBDL: Business Start-up & Mktg","72
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"FISC
375","Dept. Total","304","3.268","42.4","16.4","19.4","10.9","7.6","2.6","0.7",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","",""
"Special","","304","3.268","42.4","16.4","19.4","10.9","7.6","2.6","0.7",".",".",".",".",".",".",".",".","."
"","Dept. Total","304","3.268","42.4","16.4","19.4","10.9","7.6","2.6","0.7",".",".",".",".",".",".",".",".","."
