"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"571
Mathematical Logic","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"701","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar","Course Total","","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"830
Advanced Hist of Philosophy","001","","10","3.500",".","10.0",".",".",".",".",".",".",".",".",".",".","90.0",".",".","."
"902
Proseminar in Philosophy","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smr-Philosophy of Science","001","","11","3.700","18.2","27.3",".",".",".",".",".","9.1",".",".",".",".","45.5",".",".","."
"941
Seminar-Ethics","001","","9","3.833","55.6",".","11.1",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"951
Seminar-Philosophy of Mind","001","","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","19","",".",".",".",".",".",".",".","68.4","5.3",".",".","26.3",".",".",".","."
"999
Independent Work","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
