"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4879","3.223","37.8","17.7","20.1","9.0","8.6","3.3","1.0","1.3","",".",".","",".","0.7","0.3","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1135","3.049","28.4","18.9","21.0","13.9","10.7","5.6","1.5",".","",".",".","",".",".","0.2",".",".","."
"Sophomore","","934","3.106","32.9","17.8","20.9","10.6","11.8","4.9","1.2",".","",".",".","",".",".",".",".",".","."
"Junior","","1069","3.210","35.2","18.9","24.4","8.1","9.5","2.0","1.5",".","",".",".","",".",".","0.4",".",".","."
"Senior","","1460","3.395","46.2","17.8","19.0","6.1","5.9","2.1","0.4",".","",".",".","",".","2.0","0.3",".","0.1","0.1"
"Undergraduates","","4598","3.209","36.5","18.3","21.1","9.4","9.1","3.5","1.1",".","",".",".","",".","0.6","0.2",".","0.0","0.0"
"Special","","44","3.182","29.5","15.9","13.6","9.1","6.8","2.3","2.3","11.4","",".",".","",".",".",".","6.8","2.3","."
"Graduate","","237","3.862","63.7","5.9","2.5","0.4",".",".",".","23.6","",".",".","",".","2.5","0.8","0.4",".","."
"","Dept. Total","4879","3.223","37.8","17.7","20.1","9.0","8.6","3.3","1.0","1.3","",".",".","",".","0.7","0.3","0.1","0.1","0.0"
