"MATHEMATICS","","","","","","","","","","","","","","","","","","","","",""
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","990
165","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
167","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Reading and Research","Course Total","25","",".",".",".",".",".",".",".","80.0","",".",".","",".","16.0","4.0",".",".","."
"MATH
600","Dept. Total","8595","3.062","32.7","12.0","23.8","10.1","14.0","4.4","2.1","0.3","",".",".","",".","0.0","0.4","0.0","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3165","3.140","33.6","13.0","25.4","10.0","12.8","3.4","1.4",".","",".",".","",".",".","0.3",".",".","0.1"
"Sophomore","","2406","3.036","31.0","11.6","24.4","10.9","16.1","4.0","1.5",".","",".",".","",".",".","0.4","0.0",".","."
"Junior","","1373","2.837","25.5","10.6","24.7","12.3","16.7","6.2","3.3",".","",".",".","",".",".","0.6",".",".","0.1"
"Senior","","1012","2.779","24.1","13.2","23.4","9.8","15.7","8.4","4.7",".","",".",".","",".",".","0.3","0.1","0.2","."
"Undergraduates","","7956","3.027","30.2","12.2","24.7","10.7","14.9","4.7","2.2",".","",".",".","",".",".","0.4","0.0","0.0","0.1"
"Special","","219","3.512","57.1","11.9","17.4","4.6","5.5","1.4","0.5","0.9","",".",".","",".",".",".",".","0.9","."
"Graduate","","418","3.726","67.9","7.9","9.8","2.2","2.2","0.2","0.5","5.3","",".",".","",".","1.0","0.2",".","2.9","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".","100.0",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".","50.0",".",".","."
"","Dept. Total","8595","3.062","32.7","12.0","23.8","10.1","14.0","4.4","2.1","0.3","",".",".","",".","0.0","0.4","0.0","0.2","0.0"
