"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","202
001","304","3.208","37.5","23.4","13.8","8.9","9.5","5.3","1.3","0.3",".",".",".",".",".",".",".","."
"","202
002","382","2.802","20.4","14.9","20.7","18.3","14.9","8.6","2.1",".",".",".",".",".",".",".",".","."
"","003
202","363","3.355","41.9","19.3","22.6","6.3","7.2","1.7","0.8",".",".",".",".",".","0.3",".",".","."
"","004
202","348","2.756","20.1","13.2","21.8","17.5","13.5","10.9","2.3",".",".",".",".",".","0.3","0.3",".","."
"","202
005","368","3.293","39.7","21.7","18.5","9.8","5.2","4.3","0.8",".",".",".",".",".",".",".",".","."
"","202
006","25","3.760","72.0","16.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","202
007","19","3.342","42.1","36.8",".","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1809","3.095","32.4","18.5","19.3","12.1","10.0","6.0","1.5","0.1",".",".",".",".","0.1","0.1",".","."
"","210
001","63","2.786","11.1","4.8","47.6","9.5","25.4",".","1.6",".",".",".",".",".",".",".",".","."
"","002
210","58","2.603","12.1","5.2","29.3","12.1","37.9",".","3.4",".",".",".",".",".",".",".",".","."
"","210
003","63","2.492","11.1","4.8","23.8","11.1","41.3","6.3","1.6",".",".",".",".",".",".",".",".","."
"","004
210","63","2.976","23.8","12.7","33.3","11.1","12.7","4.8","1.6",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","247","2.717","14.6","6.9","33.6","10.9","29.1","2.8","2.0",".",".",".",".",".",".",".",".","."
"","001
225","69","3.581","52.2","18.8","23.2",".","4.3",".",".",".",".",".",".",".","1.4",".",".","."
"","225
002","104","3.077","17.3","22.1","33.7","12.5","14.4",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","173","3.276","31.2","20.8","29.5","7.5","10.4",".",".",".",".",".",".",".","0.6",".",".","."
"","311
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
311","95","3.037","16.8","12.6","46.3","13.7","8.4","2.1",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","155","3.264","49.0","7.7","28.4","8.4","5.2","1.3",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","4","***","","","","","","","","","","","","","","","",""
"","001
405","264","3.128","15.2","39.4","22.3","11.0","6.4","4.5","0.4",".",".",".",".",".","0.8",".",".","."
"","405
002","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","Course Total","278","3.174","17.6","39.2","21.2","10.4","6.1","4.3","0.4",".",".",".",".",".","0.7",".",".","."
"Field Exper in Psychology","412
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","413
001","184","3.060","31.5","7.6","34.2","10.9","10.3","2.7","2.7",".",".",".",".",".",".",".",".","."
"","413
002","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language, Mind, and Brain","Course Total","201","3.153","36.3","7.5","31.8","10.0","9.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"","001
414","175","2.954","22.3","15.4","30.9","14.3","8.6","5.1","2.9",".",".",".",".",".","0.6",".",".","."
"","414
002","14","3.500","42.9","42.9","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","Course Total","189","3.007","23.8","17.5","29.1","13.2","7.9","5.3","2.6",".",".",".",".",".","0.5",".",".","."
"","001
449","79","3.222","25.3","26.6","25.3","12.7","10.1",".",".",".",".",".",".",".",".",".",".","."
"","449
002","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Behavior","Course Total","91","3.282","27.5","27.5","25.3","11.0","8.8",".",".",".",".",".",".",".",".",".",".","."
"","456
001","73","3.267","31.5","24.7","24.7","9.6","8.2",".","1.4",".",".",".",".",".",".",".",".","."
"","456
002","77","3.221","31.2","22.1","26.0","11.7","5.2","2.6","1.3",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","150","3.247","31.3","23.3","25.3","10.7","6.7","1.3","1.3",".",".",".",".",".",".",".",".","."
"Developmental Psychology","001
460","193","3.210","24.9","30.6","22.3","10.4","9.8","2.1",".",".",".",".",".",".",".",".",".","."
"Adult Developmnt & Aging","464
001","89","3.057","14.6","19.1","46.1","5.6","9.0","3.4",".","2.2",".",".",".",".",".",".",".","."
"Depth Topic","501
001","125","3.000","15.2","33.6","24.8","8.0","12.0","3.2","3.2",".",".",".",".",".",".",".",".","."
"How We Read:Science&Educ Impl","520
001","48","2.813","8.3","14.6","33.3","22.9","18.8","2.1",".",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","Page 300 of 420",""
