"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","150","2.966","20.7","20.7","22.0","6.0","29.3",".","0.7","0.7",".",".",".",".",".",".",".","."
"","300
002","218","3.081","26.6","16.1","26.6","9.2","19.7","0.5","0.5",".",".",".",".",".",".",".","0.9","."
"Introduction to Finance","Course Total","368","3.034","24.2","17.9","24.7","7.9","23.6","0.3","0.5","0.3",".",".",".",".",".",".","0.5","."
"","305
001","45","3.033","22.2","8.9","40.0","11.1","17.8",".",".",".",".",".",".",".",".",".",".","."
"","002
305","33","3.076","21.2","15.2","33.3","18.2","12.1",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","78","3.051","21.8","11.5","37.2","14.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","320
001","58","3.319","31.0","17.2","44.8","1.7","3.4","1.7",".",".",".",".",".",".",".",".",".","."
"","320
002","59","3.237","27.1","18.6","39.0","8.5","5.1","1.7",".",".",".",".",".",".",".",".",".","."
"","320
003","55","3.291","29.1","16.4","43.6","9.1",".","1.8",".",".",".",".",".",".",".",".",".","."
"","320
004","84","3.325","22.6","28.6","41.7","4.8",".","1.2",".","1.2",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","256","3.296","27.0","21.1","42.2","5.9","2.0","1.6",".","0.4",".",".",".",".",".",".",".","."
"","001
325","65","3.415","30.8","32.3","29.2","4.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"","325
002","59","3.424","35.6","32.2","22.0","1.7","8.5",".",".",".",".",".",".",".",".",".",".","."
"","325
003","60","3.350","25.0","36.7","25.0","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","184","3.397","30.4","33.7","25.5","5.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"","330
001","60","3.258","30.0","33.3","15.0","8.3","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"","330
002","59","3.271","30.5","33.9","8.5","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"","003
330","59","3.422","37.3","32.2","15.3","3.4","10.2",".",".","1.7",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","178","3.316","32.6","33.1","12.9","8.4","11.2","1.1",".","0.6",".",".",".",".",".",".",".","."
"","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","22","3.455","54.5","18.2","13.6",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","43","3.629","51.2","30.2","11.6",".","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"Bank Management","001
410","97","3.418","26.8","32.0","39.2","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","18","3.556","50.0","22.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
420","14","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","32","3.531","46.9","18.8","28.1","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","34","3.412","11.8","61.8","23.5","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","635
001","20","3.375","25.0","30.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
030","54","3.611","57.4","7.4","35.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
031","40","3.525","22.5","62.5","12.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","735
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","24","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","52","3.635","55.8","15.4","28.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","52","3.663","57.7","17.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","139","3.583","53.2","14.4","32.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","001
920","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 57 of 420"
