"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","248","2.596","18.1","6.5","30.2","5.2","23.4","11.7","4.0",".",".",".",".",".","0.4",".",".","0.4"
"","002
101","260","2.551","16.9","3.8","34.2","5.4","20.8","12.3","5.0",".",".",".",".",".","1.5",".",".","."
"Animal Biology","Course Total","508","2.573","17.5","5.1","32.3","5.3","22.0","12.0","4.5",".",".",".",".",".","1.0",".",".","0.2"
"","102
001","13","2.885",".","23.1","61.5",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","102
002","9","3.333","33.3","11.1","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","12","3.167","8.3","25.0","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","10","3.350","40.0","30.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","005
102","12","3.208","16.7","33.3","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
102","11","3.318","54.5",".","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
008","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","10","3.300","30.0","20.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
011","10","3.350","50.0","10.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
012","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","11","3.045","18.2","9.1","54.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
014","10","3.400","50.0",".","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
015","11","3.636","63.6",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","6","3.167","66.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","102
017","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","9","3.167","11.1","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","10","3.150","30.0","10.0","50.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","102
020","9","3.056","22.2",".","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","197","3.302","34.5","15.7","38.1","3.0","7.1","1.0","0.5",".",".",".",".",".",".",".",".","."
"General Botany","130
001","31","2.629","12.9","9.7","32.3","12.9","16.1","16.1",".",".",".",".",".",".",".",".",".","."
"","151
001","251","3.014","18.7","11.6","46.6","6.4","14.7","0.8","1.2",".",".",".",".",".",".",".",".","."
"","151
002","266","3.063","22.6","12.4","38.7","9.0","15.0","1.5",".",".",".",".",".",".","0.8",".",".","."
"","151
003","121","3.008","19.8","11.6","44.6","5.0","15.7","3.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","638","3.033","20.5","11.9","42.9","7.2","15.0","1.6","0.5",".",".",".",".",".","0.3",".",".","."
"Introductory Biology","001
152","343","3.098","21.3","14.0","42.9","9.6","11.1","0.9","0.3",".",".",".",".",".",".",".",".","."
"Evolution Seminar Series UG","522
001","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","6","",".",".",".",".",".",".",".",".",".",".",".","66.7",".",".","33.3","."
"Directed Studies","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
