"FOREST AND WILDLIFE ECOLO","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Introduction to Forestry","100","001","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orientation to Wildlfe Ecology","101","001","24","3.688","79.2","4.2","12.5",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","197","2.945","18.8","20.3","19.8","19.8","13.7","4.6","0.5","1.5","0.5",".",".",".","0.5",".",".","."
"","248","001","8","3.250","37.5",".","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","248","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","12","3.208","41.7","8.3","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"","299","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","044","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","13","3.935","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Trees and Shrubs","309","001","13","2.846","15.4","15.4","23.1","15.4","30.8",".",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","32","3.016","12.5","34.4","25.0","12.5","9.4","6.3",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","72","3.097","29.2","22.2","25.0","8.3","8.3","2.8","4.2",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","399","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Physiologicl Animal Ecology","401","001","45","3.238","24.4","22.2","26.7","13.3","6.7",".",".",".",".",".",".",".","2.2","2.2","2.2","."
"Dendrology","402","001","11","3.682","72.7","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Tree Physiology","415","001","17","3.333","35.3","17.6","17.6","5.9","11.8",".",".",".",".",".",".",".","11.8",".",".","."
"The Vegetation of Wisconsin","455","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","17","3.088","5.9","47.1","17.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","61","2.908","19.7","18.0","23.0","13.1","19.7","3.3","1.6",".",".",".",".",".","1.6",".",".","."
"","550","001","16","3.531","56.3","18.8","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","550","002","18","3.639","55.6","27.8","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","","Course Total","34","3.588","55.9","23.5","5.9","11.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","001","29","3.483","34.5","48.3","13.8",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","571","001","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Conservation of Deer","577","001","16","3.469","37.5","25.0","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","16","3.733","68.8",".","25.0",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Wildlife Research Capstone","599","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecotox: The Chemical Players","632","001","6","3.300","33.3","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7","."
"Ecotox: Impacts on Individuals","633","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecotox: Populatn, Comm, Ecosys","634","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 25 of 420"
