"","990
097","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
098","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","37","",".",".",".",".",".",".",".","78.4",".",".","",".","21.6",".",".",".","."
"Spec Work-Ag & Appl Economics","999
059","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"A A E
108","Dept. Total","669","3.153","30.2","18.8","23.9","6.7","7.8","4.0","1.0","4.8","0.1",".","",".","1.2","0.6","0.1","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","38","2.965","10.5","26.3","31.6","13.2","15.8","2.6",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","54","3.083","24.1","22.2","24.1","9.3","18.5","1.9",".",".",".",".","",".",".",".",".",".","."
"Junior","","126","3.167","38.1","14.3","25.4","4.0","7.9","4.8","2.4","0.8",".",".","",".",".","0.8","0.8","0.8","."
"Senior","","257","3.103","33.5","16.7","24.1","8.6","9.7","4.7","1.2","0.4","0.4",".","",".",".","0.4",".","0.4","."
"Undergraduates","","475","3.106","31.8","17.5","25.1","7.8","10.7","4.2","1.3","0.4","0.2",".","",".",".","0.4","0.2","0.4","."
"Special","","6","1.900",".","16.7","16.7","16.7",".","16.7","16.7","16.7",".",".","",".",".",".",".",".","."
"Graduate","","186","3.372","27.4","22.6","20.4","3.8","0.5","3.2",".","15.6",".",".","",".","4.3","1.1",".","1.1","."
"Prof Yr 3","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","669","3.153","30.2","18.8","23.9","6.7","7.8","4.0","1.0","4.8","0.1",".","",".","1.2","0.6","0.1","0.6","."
