"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","288","2.958","12.5","22.2","28.8","22.2","11.1","0.7","1.4","1.0",".",".",".",".",".",".",".","."
"Politics Around the World","120","001","150","3.400","34.7","34.7","16.7","6.7","6.0","1.3",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","140","001","228","3.063","18.9","23.7","27.2","17.1","10.5","1.3","0.9","0.4",".",".",".",".",".",".",".","."
"Intro to Political Theory","160","001","181","3.436","39.8","33.7","16.0","3.9","2.2","0.6","2.8",".",".",".",".",".","1.1",".",".","."
"Research Methods in Poli Sci","170","001","48","3.271","29.2","33.3","12.5","16.7","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"Politics Around World-Honors","182","001","19","3.395","31.6","36.8","26.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","55","3.422","29.1","32.7","25.5","1.8","1.8","1.8",".",".",".",".",".",".",".","5.5","1.8","."
"SE Asia:Vietnam to Philipns","244","002","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","91","2.922","16.5","27.5","25.3","12.1","7.7","5.5","4.4",".",".",".",".",".","1.1",".",".","."
"Intro to Public Policy","272","001","46","3.413","26.1","43.5","19.6","8.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","40","3.675","67.5","17.5","10.0","2.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"United States Congress","311","001","51","3.520","39.2","37.3","13.7","2.0","5.9",".",".","2.0",".",".",".",".",".",".",".","."
"Criminal Law and Justice","314","001","44","3.580","40.9","36.4","20.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","315","002","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Politics in Comp. Persp","327","002","14","3.679","50.0","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Political Econ of Development","330","002","51","3.270","19.6","37.3","25.5","7.8","7.8",".",".","2.0",".",".",".",".",".",".",".","."
"Terrorism","347","001","105","3.178","20.0","24.8","32.4","11.4","5.7","1.9",".","3.8",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","348","001","100","2.860","18.0","20.0","25.0","18.0","9.0","6.0","4.0",".",".",".",".",".",".",".",".","."
"Intl Institutns&World Order","354","001","49","3.490","42.9","30.6","12.2","4.1","8.2",".",".","2.0",".",".",".",".",".",".",".","."
"Prin-International Law","356","001","99","2.969","23.2","19.2","20.2","15.2","14.1","7.1",".","1.0",".",".",".",".",".",".",".","."
"","400","002","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","006","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","61","3.987","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","60","3.449","30.0","40.0","18.3","8.3","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"","401","002","27","3.889","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","87","3.587","46.0","32.2","13.8","5.7","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"The American Constitution I","411","001","52","3.583","28.8","53.8","7.7",".","1.9",".",".","7.7",".",".",".",".",".",".",".","."
"American Judicial System","417","001","48","3.333","31.3","22.9","31.3","10.4","4.2",".",".",".",".",".",".",".",".",".",".","."
"Comparative Study of Genocide","439","001","78","3.604","47.4","32.1","12.8","5.1","1.3",".",".",".",".",".",".",".",".","1.3",".","."
"African Intl Relations","455","002","34","3.045","35.3","17.6","11.8","8.8","14.7","5.9","2.9",".",".",".",".",".",".",".",".","2.9"
"","460","001","21","3.548","57.1","28.6","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","460","002","19","3.211","21.1","36.8","15.8","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","","Course Total","40","3.388","40.0","32.5","10.0","10.0","5.0",".","2.5",".",".",".",".",".",".",".",".","."
"Women and Politics","469","002","43","3.363","20.9","39.5","20.9","9.3","2.3",".",".","7.0",".",".",".",".",".",".",".","."
"The First Amendment","470","001","47","3.300","34.0","29.8","12.8","10.6","2.1","6.4",".","2.1",".",".",".",".",".","2.1",".","."
"","601","002","21","3.700","57.1","19.0","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","601","003","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","","Course Total","29","3.704","55.2","20.7","17.2",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Pol&Society:Contemp E Europ","659","001","24","3.708","54.2","33.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","100","1","***","","","","","","","","","",".",".",".",".",".",".","."
