"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","835
010","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
011","","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
835","","19","3.750","57.9","26.3","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","","86","3.735","54.7","36.0","8.1",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"","836
010","","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
020","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","","51","3.902","80.4","19.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
840","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","25","3.740","56.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","Course Total","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","869
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","873
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","Course Total","","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
010","","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","Course Total","","28","3.750","53.6","42.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis-Research","890
051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
010","","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
020","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","","45","3.778","62.2","31.1","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Faculty Research Seminar","946
001","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Proseminar","948
001","","13","3.682","38.5","38.5","7.7",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"PhD Proseminar","951
001","","8","3.357","12.5","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","12.5","."
"","990
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","10","",".",".",".",".",".",".",".","30.0",".",".",".","70.0",".",".",".","."
"","999
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","10.0","."
