"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"501
Radiolgcal Physcs&Dosimetry","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Intro to Atomic Structure","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Solid State Physics","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"563
Radionuclides-Med & Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"691","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"711
Theoreticl Physics-Dynamics","001","","29","3.593","58.6","6.9","20.7",".","6.9",".",".",".",".",".",".",".","6.9",".",".","."
"716
Statistical Mechanics","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","27","3.519","29.6","40.7","25.9",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"724
Waves&Instabilities-Plasmas","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Quantum Mechanics","001","","34","3.606","35.3","47.1","14.7",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"735
Particle Physics","001","","15","3.433","40.0","20.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"748
Linear Waves","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Topics-Theoretical Physics","001","","17","3.755","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Special Topics in Physics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Advanced Quantum Mechanics","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Collider Phys Phenomenology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 294 of 420",""
