"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","43","3.628","53.5","25.6","16.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"261
Sustainable Turf Management","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Intro to Plant Pathology","001","","69","3.290","40.6","7.2","31.9","13.0","5.8","1.4",".",".",".",".",".",".",".",".",".","."
"309
Diseases of Trees and Shrubs","001","","6","2.667",".",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"311
Global Food Security","001","","20","3.575","45.0","45.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","12","3.208","33.3","25.0","25.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"375","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","32","3.946","84.4","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology","Course Total","","4","***","","","","","","","","","","","","","","","",""
"622
Plant-Bacterial Interactns","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"799
Pract-Plant Pathology Tchg","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","002","","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"923
Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","","34","",".",".",".",".",".",".",".","47.1",".",".",".","52.9",".",".",".","."
