"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","640
001","21","2.881",".","38.1","9.5","42.9","9.5",".",".",".",".",".",".",".",".",".",".","."
"","002
640","18","2.833","5.6","16.7","22.2","22.2","16.7",".",".",".",".",".",".",".","16.7",".",".","."
"Strategic Retailing","Course Total","39","2.861","2.6","28.2","15.4","33.3","12.8",".",".",".",".",".",".",".","7.7",".",".","."
"","700
030","54","3.657","38.9","53.7","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","36","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","90","3.711","46.7","48.9","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","42","3.619","23.8","76.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Strategy","735
001","39","4.000","97.4",".",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","755
001","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
765","46","3.978","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
765","52","3.490","17.3","63.5","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","52","3.625","30.8","63.5","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","204","3.678","55.9","37.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual-Based Marketing Insights","805
001","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
160","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","8","",".",".",".",".",".",".",".","37.5",".",".",".","62.5",".",".",".","."
"","999
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
