"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"735
Legal&Ethical Bases - Coun&Psy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"741
Socl, Emotionl&Behav Assessmnt","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Assessment of Acad Skill Probs","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","001","","31","4.000","96.8",".",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"760","002","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","","52","3.961","90.4","7.7",".",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"762
Intro: Dsgn-Ed Experiments","001","","25","3.938","84.0","12.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"763
Regression Models in Education","001","","38","3.972","92.1",".","2.6",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"770
Human-Computer Interaction","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"771
Test Construction","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Teacher Leadership","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"791
MSPE Capstone","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"795","001","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"795","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences I","Course Total","","29","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Intro Quant Inquiry in Educ","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"840","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","24","3.925","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Chld&Adoles Psychpathl/Schl","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"943
Internshp-School Psychology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Res and Meas in School Psych","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"971
Adv Smr-Educ Measuremnt&Stats","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
