"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX
Dept. Total
362","152","3.565","21.7","15.8","11.8","1.3","0.7","",".","",".","44.1","",".",".","",".","2.6","",".",".",".","2.0"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","6","3.333","33.3","16.7","33.3","16.7",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","34","3.585","29.4","38.2","20.6","2.9",".","",".","",".",".","",".",".","",".",".","",".",".",".","8.8"
"Undergraduates","40","3.553","30.0","35.0","22.5","5.0",".","",".","",".",".","",".",".","",".",".","",".",".",".","7.5"
"Special","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","109","3.644","19.3","8.3","6.4",".","0.9","",".","",".","61.5","",".",".","",".","3.7","",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Dept. Total","152","3.565","21.7","15.8","11.8","1.3","0.7","",".","",".","44.1","",".",".","",".","2.6","",".",".",".","2.0"
