"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"201
Land Surveying Fundamentals","001","","42","3.214","21.4","28.6","31.0","14.3","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"249
Engr Principles-Biol Systms","001","","90","2.917","22.2","11.1","35.6","5.6","18.9","5.6","1.1",".",".",".",".",".",".",".",".","."
"270
Intro to Computer Aided Design","001","","57","3.167","28.1","17.5","28.1","15.8","8.8","1.8",".",".",".",".",".",".",".",".",".","."
"367","001","","106","2.962","10.4","17.9","46.2","8.5","14.2","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"367","003","","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","115","2.991","12.2","18.3","45.2","7.8","13.9","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","28","2.926","10.7","25.0","32.1","10.7","14.3",".","3.6",".",".",".",".",".","3.6",".",".","."
"460
Biorefining: Energy & Products","001","","17","3.235","17.6","29.4","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"461
Food&Bioprocessing Operations","001","","12","3.083","33.3",".","41.7",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"473
Irrigatn&Drainage Sys Dsgn","001","","42","3.024","11.9","35.7","21.4","16.7","11.9",".","2.4",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","20","2.925","5.0","10.0","50.0","35.0",".",".",".",".",".",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","55","2.741","7.3","3.6","18.2","7.3","9.1","1.8","1.8",".",".",".",".",".","50.9",".",".","."
"517
Biology in Engineering Seminar","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"691
Senior Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","8","",".",".",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","13.9",".",".",".","83.3","2.8",".",".","."
