"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"697","076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","17","3.931","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","40","3.962","82.5","7.5",".",".",".",".",".",".",".",".",".",".","5.0",".","5.0","."
"801
Mass Communicatn&Individual","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Global Communication","001","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Political Communication","001","","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"880
Topics in Mass Communication","046","","10","3.722","70.0","10.0",".",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"901
Colloquium:Mass Communicatn","001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","38","",".",".",".",".",".",".",".","81.6",".",".",".","18.4",".",".",".","."
"999
Independent Research Prob","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
