"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","15","3.607","53.3","20.0","26.7",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","16","3.600","50.0","25.0","25.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","25","3.734","72.0","12.0","8.0",".","4.0","",".","",".","4.0","",".",".","",".","",".",".",".",".","."
"Graduate","","89","3.806","66.3","18.0","5.6","1.1",".","",".","",".","5.6","",".",".","",".","",".","2.2",".","1.1","."
"Prof Yr 1","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","","","",".","",".","",".","33.3",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","38","3.903","84.2","13.2","2.6",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","45","3.893","82.2","11.1","4.4",".",".","",".","",".",".","",".",".","",".","",".","2.2",".",".","."
