"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","31","3.293","25.8","35.5","16.1","12.9",".",".","3.2",".",".",".",".",".",".",".","6.5","."
"19&20 C Russian Lit Tran I","203","001","","52","3.627","57.7","26.9","9.6",".",".","1.9","1.9","1.9",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","","31","2.919","29.0","19.4","12.9","9.7","19.4","6.5","3.2",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Manga","231","001","","45","3.589","60.0","24.4","4.4","4.4","4.4",".","2.2",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","","19","3.444","42.1","31.6","5.3",".","10.5","5.3",".","5.3",".",".",".",".",".",".",".","."
"Bascom Crse-In Translation","236","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","247","001","","6","3.167","33.3",".","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","247","002","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","247","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","","Course Total","","19","3.553","57.9","5.3","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","","77","3.934","85.7","13.0",".",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"Lt Trn:Boccaccios Decameron","255","001","","21","3.500","38.1","28.6","19.0","9.5",".",".",".",".",".",".",".",".",".",".","4.8","."
"Italy & Invention of America","260","001","","29","3.741","58.6","34.5","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","","52","3.846","82.7","9.6","3.8","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","","9","3.111","33.3","22.2","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Fr Womn Writrs Mid Ages-19c","268","001","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, Europe","269","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","001","","17","3.344","17.6","35.3","35.3","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","271","002","","14","3.179","14.3","35.7","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","","Course Total","","31","3.255","16.1","35.5","32.3","9.7","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"","275","001","","85","3.535","50.6","29.4","11.8",".","5.9","1.2","1.2",".",".",".",".",".",".",".",".","."
"","275","002","","44","3.716","65.9","27.3",".","2.3","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","129","3.609","55.8","28.7","7.8","0.8","4.7","1.6","0.8",".",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337","001","","35","3.396","31.4","20.0","25.7","8.6","2.9",".",".","2.9",".",".",".",".",".","8.6",".","."
"Contemp Scand Lit in Trans","340","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Polish Lit Mid Ages-1863","471","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
