"","E ASIAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","56","3.545","55.4","25.0","7.1","3.6","3.6","1.8","1.8",".",".",".",".",".",".",".","1.8","."
"","103","001","50","3.620","62.0","22.0","4.0","6.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"","103","002","47","3.915","87.2","8.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","97","3.763","74.2","15.5","4.1","3.1","2.1","1.0",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","63","3.750","69.8","17.5","9.5",".",".",".","1.6","1.6",".",".",".",".",".",".",".","."
"","122","001","12","3.458","41.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","122","002","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","22","3.614","54.5","18.2","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","124","001","26","3.731","65.4","26.9",".","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","31","3.710","64.5","25.8","6.5",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","30","3.417","40.0","26.7","16.7","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian Religions","267","002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","23","3.565","39.1","34.8","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","35","3.800","77.1","14.3","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","18","3.722","66.7","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","319","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","319","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","2","***","","","","","","","","","","","","","","","",""
"1st Yr Classical Chinese","321","001","11","3.800","54.5","36.4",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"First Yr Classical Japanese","323","001","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Elementary Korean","325","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Japanese","327","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Conversation","333","001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intmed Japanese Conversatn","335","001","17","3.529","35.3","52.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","21","3.778","66.7","28.6",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","10","3.889","80.0",".","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","15","3.423","33.3","33.3","13.3",".",".","6.7",".","13.3",".",".",".",".",".",".",".","."
"Survey of Chinese Literature","351","001","23","3.674","69.6","13.0","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Japanese Literature","353","001","25","3.320","40.0","40.0","4.0","8.0",".",".","8.0",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","160","3.884","83.8","13.1","1.3","1.3",".","0.6",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Manga","376","001","17","3.382","58.8","17.6",".","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","23","3.810","60.9","26.1","4.3",".",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"Seventh Semester Korean","405","001","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chinese Linguistics","431","001","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-E Asian Visual Cultures","433","001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Japanese Linguistics","434","001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese for Bus & Industry","601","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 209 of 420",""
