"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","94","3.601","48.9","29.8","16.0","3.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","106","2.689","17.0","6.6","28.3","12.3","21.7","11.3",".",".",".",".",".",".",".",".","1.9","0.9"
"151
Introductory Biology","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"152
Introductory Biology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"240
Plants and Humans","001","","72","3.321","34.7","16.7","34.7","4.2","4.2","2.8",".","1.4",".",".",".",".","1.4",".",".","."
"260
Introductory Ecology","001","","95","2.910","9.5","28.4","27.4","14.7","13.7","4.2","1.1",".",".",".",".",".","1.1",".",".","."
"265
Rainforests and Coral Reefs","001","","20","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","Course Total","","5","***","","","","","","","","","","","","","","","",""
"300
Plant Anatomy","001","","25","3.159","24.0","28.0","16.0",".","16.0","4.0",".","12.0",".",".",".",".",".",".",".","."
"330
Algae","001","","15","3.333","60.0","6.7","13.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"338
Environmental Biogeography","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","20","3.725","80.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"400
Plant Systematics","001","","35","3.382","45.7","11.4","20.0","11.4","8.6",".",".",".",".",".",".",".","2.9",".",".","."
"402
Dendrology","001","","12","3.773","66.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"410
Evolutionary Biology","001","","10","3.150","10.0","40.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","21","2.794","28.6",".","23.8","4.8","14.3",".","9.5","9.5",".",".",".",".","9.5",".",".","."
"460
General Ecology","001","","48","2.957","14.6","31.3","20.8","10.4","10.4","6.3","2.1","4.2",".",".",".",".",".",".",".","."
"474
Ethnobotany","001","","28","3.720","50.0","28.6","10.7",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"575","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"626
Mineral Nutrition of Plants","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","12","3.167","33.3","8.3","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
