"FRENCH (FRENCH AND ITALIAN) Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"Practical French Converstn","301","001","","28","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311","001","","22","3.341","45.5","27.3","9.1","4.5","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"Adv Oral & Written Expression","312","001","","16","3.750","75.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","313","001","","29","3.638","44.8","44.8","6.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","313","002","","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","","Course Total","","45","3.689","53.3","35.6","8.9",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321","001","","28","3.661","57.1","17.9","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","001","","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","002","","22","3.545","36.4","40.9","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","","Course Total","","46","3.707","54.3","34.8","8.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347","001","","19","3.658","68.4","15.8","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348","001","","22","3.614","40.9","40.9","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medieval, Renais&Early Mod St","451","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grammaire avancee","615","001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Rspnsbility in Prof French","616","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","639","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Lit Through 13th C","705","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","024","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of French","820","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Materials&Methods-Rsch","901","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Questions-Litterature","947","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","","Course Total","","16","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
