"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","10","3.667","80.0",".",".",".",".","10.0",".",".",".",".",".",".","10.0",".",".","."
"299
Independent Study","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","66","3.500","37.9","34.8","22.7","1.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","46","3.370","26.1","28.3","41.3","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","192","3.435","27.6","43.2","17.7","9.9","1.0",".",".","0.5",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","70","3.121","18.6","10.0","51.4","17.1","2.9",".",".",".",".",".",".",".",".",".",".","."
"360","001","","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"360","002","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","003","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","004","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","005","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","68","3.846","76.5","19.1","2.9",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","56","3.688","44.6","48.2","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","29","3.448","24.1","44.8","27.6","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","51","3.060","29.4","7.8","27.5","11.8","21.6",".",".",".",".",".",".",".","2.0",".",".","."
"448
Crystallog & Xray Diffractn","001","","31","3.774","64.5","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","56","3.143","16.1","21.4","42.9","14.3","5.4",".",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","46","3.391","30.4","19.6","47.8","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"461
Advanced Metal Casting","001","","11","3.273","18.2","36.4","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"470
Capstone Project I","001","","49","3.888","85.7","10.2",".","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"521
Advanced Polymeric Materials","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","25","3.360","28.0","44.0","8.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Matls Sci-Phase Transfm","001","","16","3.438","37.5","18.8","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"756
Advanced Electronic Materials","001","","20","3.550","45.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 147 of 420",""
