"COMMUNITY & ENVIRONMENTA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag","103","002","","9","3.389","66.7",".","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","","71","3.528","50.7","23.9","19.7",".","1.4","4.2",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","30","2.850","6.7","30.0","33.3","6.7","16.7","3.3","3.3",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","","9","3.333","33.3","44.4","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","248","001","","20","2.950","15.0","15.0","25.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","248","002","","21","3.405","47.6","33.3","4.8",".","4.8","9.5",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","","41","3.183","31.7","24.4","14.6","17.1","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"","299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Issues in Food Systems","340","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","14","3.357","50.0","7.1","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","475","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","003","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","13","3.308","23.1","30.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Experience","500","001","","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","15","3.500","60.0","20.0",".","6.7",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"Poverty and Place","578","001","","23","2.935","21.7","26.1","17.4","4.3","26.1",".","4.3",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern American Communities","645","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Social Change","913","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Race & Ethnic Studies","987","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research:Soc of Econ Chnge","993","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Methodology Trainees","995","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Demogrphy&Ecol Trainee","997","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","999","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
