"","990
026","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
030","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
072","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","19","",".",".",".",".",".","",".","",".","47.4","",".",".","",".","26.3",".",".","26.3","."
"POP HLTH
810","Dept. Total","658","3.810","59.0","10.5","7.4","0.2","0.2","",".","",".","4.9","",".","13.8","",".","0.8","2.3",".","1.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","35","3.505","42.9","22.9","31.4",".",".","",".","",".",".","",".",".","",".",".","2.9",".",".","."
"Senior","","69","3.585","58.0","13.0","27.5","1.4",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","107","3.551","51.4","17.8","29.0","0.9",".","",".","",".",".","",".",".","",".",".","0.9",".",".","."
"Special","","26","3.852","76.9","19.2","3.8",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","153","3.868","66.7","10.5","3.9",".","0.7","",".","",".","7.8","",".",".","",".","3.3","2.6",".","4.6","."
"Prof Yr 1","","103","3.962","11.7","1.0",".",".",".","",".","",".",".","",".","87.4","",".",".",".",".",".","."
"Prof Yr 2","","23","3.987","91.3","4.3",".",".",".","",".","",".",".","",".","4.3","",".",".",".",".",".","."
"Prof Yr 3","","14","3.955","78.6","7.1",".",".",".","",".","",".","14.3","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","232","3.883","72.0","11.2","4.7",".",".","",".","",".","7.8","",".",".","",".",".","4.3",".",".","."
"Professionals","","372","3.896","56.7","7.8","3.0",".",".","",".","",".","5.4","",".","24.5","",".",".","2.7",".",".","."
"","Dept. Total","658","3.810","59.0","10.5","7.4","0.2","0.2","",".","",".","4.9","",".","13.8","",".","0.8","2.3",".","1.1","."
