"EDU","","","","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"ELPA
Dept. Total
305","610","3.920","73.4","8.5","1.5","",".","",".","",".","0.2","8.5","",".",".","",".","1.8","4.6","0.2","1.3","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","11","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","9","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","23","3.947","95.7",".","4.3","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","43","3.964","97.7",".","2.3","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Special","16","3.929","75.0","12.5",".","",".","",".","",".",".","12.5","",".",".","",".",".",".",".",".","."
"Graduate","543","3.916","70.5","9.0","1.5","",".","",".","",".","0.2","9.2","",".","0.7","",".","2.0","5.2","0.2","1.5","."
"Prof Yr 1","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","10","3.950","90.0","10.0",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","12","3.958","91.7","8.3",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Dept. Total","614","3.920","73.0","8.5","1.5","",".","",".","",".","0.2","8.5","",".","0.7","",".","1.8","4.6","0.2","1.3","."
