"COMPUTER SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"","475","002","15","2.800","6.7","26.7","33.3","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","","Course Total","38","2.789","23.7","15.8","28.9","5.3","7.9","13.2","5.3",".",".",".",".",".",".",".",".","."
"Software Engineering","506","001","123","3.955","95.9","2.4","0.8",".",".","0.8",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514","001","26","3.038","23.1","23.1","34.6",".","7.7","11.5",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520","001","56","2.991","17.9","14.3","37.5","12.5","10.7","1.8","1.8",".",".",".",".",".",".","3.6",".","."
"Introduction to Optimization","524","001","28","3.463","28.6","35.7","28.6","3.6",".",".",".",".",".",".",".",".","3.6",".",".","."
"Linear Programming Methods","525","001","22","3.045","22.7","13.6","40.9","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Thry&Appl of Pattrn Recgntn","532","001","76","3.520","51.3","13.2","25.0","5.3","3.9",".",".","1.3",".",".",".",".",".",".",".","."
"Image Processing","533","001","17","3.559","52.9","17.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536","001","106","2.896","16.0","20.8","32.1","17.0","3.8","6.6","3.8",".",".",".",".",".",".",".",".","."
"","537","001","243","3.316","34.6","30.5","16.5","9.5","5.3","1.6","1.6",".",".",".",".",".","0.4",".",".","."
"","537","002","66","3.871","92.4","1.5","3.0",".","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","","Course Total","309","3.435","46.9","24.3","13.6","7.4","4.5","1.3","1.6",".",".",".",".",".","0.3",".",".","."
"Intro-Artificl Neural Ntwrk","539","001","9","2.813","22.2",".","11.1","33.3","22.2",".",".",".",".",".",".",".",".","11.1",".","."
"","540","001","174","2.968","27.6","17.8","19.0","14.9","11.5","5.2","3.4",".",".",".",".",".","0.6",".",".","."
"","540","002","190","3.176","31.6","23.2","20.5","15.3","4.2","2.1","3.2",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","","Course Total","364","3.077","29.7","20.6","19.8","15.1","7.7","3.6","3.3",".",".",".",".",".","0.3",".",".","."
"Intro-Computer Architecture","552","001","14","2.607","14.3","14.3","21.4","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"Computer Graphics","559","001","94","3.211","30.9","22.3","23.4","9.6","5.3","1.1","3.2",".",".",".",".",".","4.3",".",".","."
"","564","002","71","3.500","39.4","36.6","15.5","7.0",".",".","1.4",".",".",".",".",".",".",".",".","."
"","564","003","111","3.211","25.2","24.3","28.8","11.7","5.4","2.7",".",".",".",".",".",".",".",".","1.8","."
"Database Mgt Systems","","Course Total","182","3.325","30.8","29.1","23.6","9.9","3.3","1.6","0.5",".",".",".",".",".",".",".","1.1","."
"Introduction to Bioinformatics","576","001","39","3.026","35.9","12.8","12.8","12.8","12.8","10.3",".",".",".",".",".",".",".","2.6",".","."
"Introduction to Algorithms","577","001","234","2.677","9.4","14.1","19.7","23.9","29.9","2.1","0.9",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","638","001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640","001","99","3.232","27.3","26.3","28.3","8.1","7.1","3.0",".",".",".",".",".",".",".",".",".","."
"","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","101","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","7","",".",".",".",".",".",".",".",".",".",".",".","85.7",".",".","14.3","."
"","682","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 204 of 420",""
