"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","96","3.906","85.4","12.5","1.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","15","3.100","33.3","26.7","6.7","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","80","3.263","23.8","22.5","43.8","5.0","3.8","1.3",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","80","",".",".",".",".",".",".",".","98.8",".",".",".",".","1.3",".",".","."
"634
Small Animal Anesthesia Lab","001","","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Diagnostic Imaging","001","","80","3.925","87.5","10.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Large Animal Surgery","001","","34","4.000","5.9",".",".",".",".",".",".","91.2",".",".",".",".","2.9",".",".","."
"644
Small Orthopedic Surgery","001","","15","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"645","001","","34","4.000","17.6",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","."
"645","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","35","4.000","17.1",".",".",".",".",".",".","82.9",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","30","3.813","50.0",".",".",".",".","3.3",".","46.7",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","36","4.000","30.6",".",".",".",".",".",".","69.4",".",".",".",".",".",".",".","."
"675","001","","16","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"675","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675","006","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","008","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","69","4.000","59.4",".",".",".",".",".",".","40.6",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","72.7",".",".",".",".",".",".","18.2",".",".",".",".",".",".","9.1","."
"741
Clinical Ophthalm Rotation","001","","22","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","13","4.000","76.9",".",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"775","001","","16","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"775","002","","14","",".",".",".",".",".",".",".","78.6",".",".",".",".",".",".","21.4","."
"775","003","","8","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".","25.0","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","40","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".","20.0","."
"812
Rsch Ethics&Career Development","001","","28","4.000","96.4",".",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
