"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"In Trans:Mythlgy-Scandnavia","342","001","3","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Medieval Art","415","001","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Old English","520","001","2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Old Germanic Languages","755","001","2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Medieval Literature","842","001","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","","Dept. Total","9","3.946","88.9","11.1","",".","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
