"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-E Asian History:China","103
001","","23","3.804","65.2","30.4","4.3",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Intro-E Asian History:Japan","104
001","","22","3.262","13.6","50.0","13.6","9.1","9.1",".","",".",".","",".","",".",".","",".","","4.5",".",".","."
"Hist-Modern China,1800-1949","341
001","","11","3.150","18.2","45.5","18.2",".",".",".","","9.1",".","",".","",".",".","",".","","9.1",".",".","."
"E A STDS
298","Dept. Total","","56","3.472","35.7","41.1","10.7","3.6","3.6","",".","1.8","",".","",".",".","",".","",".","3.6",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","11","3.455","36.4","45.5",".","9.1","9.1","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","18","3.611","50.0","33.3","11.1",".","5.6","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","9","3.611","33.3","55.6","11.1",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","17","3.233","23.5","35.3","17.6","5.9",".","",".","5.9","",".","",".",".","",".","",".","11.8",".",".","."
"Undergraduates","","","55","3.472","36.4","40.0","10.9","3.6","3.6","",".","1.8","",".","",".",".","",".","",".","3.6",".",".","."
"Special","","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","56","3.472","35.7","41.1","10.7","3.6","3.6","",".","1.8","",".","",".",".","",".","",".","3.6",".",".","."
