"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","103
001","","17","2.559","5.9","23.5","11.8","29.4","17.6","5.9","5.9",".",".",".",".",".",".",".",".","."
"","002
103","","11","3.227","54.5","9.1","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","103
003","","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","103
004","","14","3.107","21.4","35.7","7.1","28.6",".","7.1",".",".",".",".",".",".",".",".",".","."
"","005
103","","17","3.059","11.8","35.3","35.3",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","","67","3.015","20.9","29.9","17.9","14.9","9.0","4.5","3.0",".",".",".",".",".",".",".",".","."
"","203
001","","7","3.667","28.6","57.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","203
002","","10","2.900","40.0","10.0",".","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","","17","3.188","35.3","29.4",".","17.6","5.9",".","5.9","5.9",".",".",".",".",".",".",".","."
"Latin Lit of Roman Republic","301
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Roman Lyric Poetry","522
001","","17","3.906","76.5","17.6",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Seminar-Poetry","910
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","","123","3.258","39.8","26.8","10.6","10.6","5.7","2.4","2.4","0.8",".",".",".",".","0.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","26","3.170","15.4","42.3","26.9",".","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","34","2.963","29.4","23.5","11.8","17.6","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"Junior","","","16","3.537","56.3","18.8",".","12.5","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Senior","","","19","3.100","31.6","31.6","5.3","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Undergraduates","","","95","3.134","30.5","29.5","12.6","12.6","7.4","3.2","3.2",".",".",".",".",".","1.1",".",".","."
"Special","","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","","24","3.907","79.2","16.7",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","Dept. Total","","123","3.258","39.8","26.8","10.6","10.6","5.7","2.4","2.4","0.8",".",".",".",".","0.8",".",".","."
