"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"","301
001","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","56","3.982","98.2",".","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","28","3.036","25.0","28.6","21.4","7.1","7.1","7.1","3.6",".",".",".",".",".",".",".",".","."
"","303
002","24","3.313","20.8","33.3","37.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","52","3.163","23.1","30.8","28.8","5.8","5.8","3.8","1.9",".",".",".",".",".",".",".",".","."
"","650
001","45","3.156","22.2","24.4","28.9","15.6","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"","650
002","42","2.878","14.3","9.5","35.7","23.8","9.5","4.8",".","2.4",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","87","3.023","18.4","17.2","32.2","19.5","8.0","3.4",".","1.1",".",".",".",".",".",".",".","."
"","652
001","46","3.217","32.6","19.6","34.8","2.2","6.5",".","4.3",".",".",".",".",".",".",".",".","."
"","002
652","54","3.185","16.7","31.5","33.3","9.3","9.3",".",".",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","100","3.200","24.0","26.0","34.0","6.0","8.0",".","2.0",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","15","3.133","20.0","20.0","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","40","3.125","12.5","37.5","25.0","22.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"Health Analytics","655
001","21","3.452","52.4","9.5","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","371","3.196","34.0","20.8","26.7","10.0","5.9","1.3","1.1","0.3",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Sophomore","","45","3.247","57.8","20.0","11.1",".","4.4","4.4","2.2",".",".",".",".",".",".",".",".","."
"Junior","","109","3.253","42.2","18.3","23.9","8.3","5.5",".","1.8",".",".",".",".",".",".",".",".","."
"Senior","","197","3.138","22.3","21.8","33.0","13.7","6.6","1.5","0.5","0.5",".",".",".",".",".",".",".","."
"Undergraduates","","351","3.182","33.0","20.5","27.4","10.3","6.0","1.4","1.1","0.3",".",".",".",".",".",".",".","."
"Special","","18","3.386","44.4","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","371","3.196","34.0","20.8","26.7","10.0","5.9","1.3","1.1","0.3",".",".",".",".",".",".",".","."
