"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"631
History of Chinese Language","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"701
Prosem-Chinese Literature","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Chinese Philosophical Texts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"763
Studies-Japanese Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Stdys-Japanese Linguistics","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Topics-E Asian Visual Cultures","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","18","",".",".",".",".",".",".",".","66.7",".",".",".","27.8","5.6",".",".","."
"999","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Research","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
