"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","4","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","23","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","58","4.000","74.1",".",".",".",".",".","",".","20.7","",".",".","",".","",".","5.2",".",".","."
"Prof Yr 2","23","4.000","87.0",".",".",".",".",".","",".","8.7","",".",".","",".","",".",".",".",".","4.3"
"Prof Yr 3","288","3.428","22.2","13.5","17.7","1.0","3.5",".","",".","42.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","348","3.978","39.4",".",".",".",".","0.3","",".","56.0","",".",".","",".","",".",".",".","4.3","."
"Professionals","717","3.578","36.8","5.4","7.1","0.4","1.4","0.1","",".","46.0","",".",".","",".","",".","0.4",".","2.1","0.1"
