"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Intro to Exercise Psychology","350","001","","64","3.859","81.3","12.5","4.7",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"HPE in Multicultural Society","353","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355","001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Strategies II","358","001","","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","","34","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","64","3.477","40.6","26.6","21.9","9.4","1.6",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mthds of Tchng Dance Gymnastcs","371","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods Teach Sport Concepts","373","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Phys Ed","375","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","049","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","399","050","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Org & Admin of Phy Ed","412","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Clinical Assessment in AT","417","001","","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450","002","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Fld Exp in AT","","Course Total","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","475","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","52","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phys Act for Diverse Abilities","516","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","24","3.739","50.0","41.7","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Nutrition, Fitness and Health","525","001","","24","3.409","25.0","29.2","33.3","4.2",".",".",".",".",".",".",".",".","8.3",".",".","."
"Prin. Strength & Conditioning","527","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
