"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","3","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","138","3.321","50.0","14.5","17.4","8.7","2.2","4.3","2.2",".","",".",".","",".","",".","",".",".","0.7","."
"Senior","164","3.382","48.8","17.1","15.2","9.1","7.3","1.8","0.6",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","306","3.349","49.3","15.7","16.0","9.2","5.2","2.9","1.3",".","",".",".","",".","",".","",".",".","0.3","."
"Special","6","2.722","33.3",".","33.3","16.7",".",".","16.7",".","",".",".","",".","",".","",".",".",".","."
"Graduate","170","3.817","31.2","8.2","1.2",".",".",".",".","26.5","",".","32.4","",".","",".","",".",".","0.6","."
"Prof Yr 1","288","3.610","56.9","20.5","13.2","7.3","1.7","0.3",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","440","3.447","43.6","19.5","26.6","6.6","3.0","0.7",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","158","3.664","54.4","27.2","16.5","1.3",".",".",".",".","",".",".","",".","",".","",".",".","0.6","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","887","3.541","49.9","21.2","20.4","5.9","2.0","0.5",".",".","",".",".","",".","",".","",".",".","0.1","."
