"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"291
Prob Solv Using Cmptr Tools","001","","11","3.000",".","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"330
Soil Mechanics","001","","17","2.882","11.8","23.5","23.5","11.8","29.4",".",".",".",".",".",".",".",".",".",".","."
"360
Principles of Mineralogy","001","","11","3.136","9.1","54.5","9.1","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"371
Intro Envir Remote Sensing","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Topics-Geological Engr","001","","23","3.696","39.1","60.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Sedimentary & Stratigraphy Lab","001","","32","3.578","59.4","12.5","15.6","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"479
Geological Engr Design","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Seepage and Slopes","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"594
Intro to Applied Geophysics","001","","43","3.047","25.6","9.3","37.2","9.3","16.3","2.3",".",".",".",".",".",".",".",".",".","."
"595
Fld Meth-Appl&Engr Geophysics","001","","43","3.884","81.4","14.0","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"627
Hydrogeology","001","","32","3.203","18.8","25.0","46.9","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"730
Engr Properties of Soils","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"801
Spec Topics-Geological Engr","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"990
Research and Thesis","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","2","***","","","","","","","","","","","","","","","",""
